Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_170,oh,406.25,35.90,93.75,40.45,42.14,17.15,18.76,968.75,24.87,11.03,1.00
Bd_171,A,343.75,41.77,171.88,48.92,41.77,48.92,-7.15,875.00,26.62,15.15,1.00
Bd_173,i,375.00,47.98,186.61,42.40,48.18,30.36,17.62,1000.00,22.48,25.50,1.00
Bd_173,A,500.00,47.05,182.62,45.13,46.04,33.25,13.81,875.00,29.82,17.23,1.00
Bd_173,oh,421.88,40.55,140.63,46.48,49.92,4.04,36.51,937.50,32.29,8.26,1.00
Bd_173,oh,281.25,45.63,154.37,41.75,45.63,3.05,42.58,875.00,17.26,28.36,1.00
Bd_174,aa,531.25,22.18,93.75,36.83,35.72,36.83,-14.66,937.50,13.94,8.23,1.00
Bd_174,i,500.00,43.02,187.50,46.72,45.62,47.05,-4.03,875.00,25.07,17.95,1.00
Bd_174,oh,1062.50,22.71,156.25,46.09,34.70,46.09,-23.38,1000.00,19.14,3.58,1.00
Bd_174,aa,468.75,45.05,156.25,43.31,44.01,6.52,38.53,875.00,18.99,26.06,1.00
Bd_174,oh,375.00,39.29,156.25,45.79,51.76,25.10,14.19,875.00,34.88,4.41,1.00
Bd_175,A,1031.25,34.60,156.25,40.11,46.70,4.60,29.99,1000.00,31.83,2.77,1.00
Bd_175,ee,406.25,39.31,125.00,40.39,41.16,14.13,25.18,937.50,20.77,18.54,1.00
Bd_175,ee,812.50,7.29,137.74,10.68,8.00,11.39,-4.09,937.50,1.64,5.65,1.00
Bd_175,i,593.75,39.34,156.25,47.25,50.95,13.82,25.52,937.50,27.07,12.28,1.00
Bd_176,A,375.00,33.44,127.98,41.54,35.17,41.54,-8.09,937.50,25.89,7.55,1.00
Bd_177,i,375.00,40.69,187.50,45.89,41.85,45.89,-5.20,1031.25,18.91,21.78,1.00
Bd_177,ee,281.25,32.76,93.75,36.90,40.75,17.86,14.90,968.75,4.59,28.17,1.00
Bd_178,oh,734.38,16.04,171.88,42.49,35.12,42.49,-26.45,875.00,23.68,-7.63,1.00
Bd_179,ee,281.25,26.34,93.75,36.10,35.95,36.10,-9.77,906.25,-6.80,33.13,1.00
Bd_18,i,468.75,29.19,125.00,40.44,30.36,40.44,-11.25,1000.00,15.34,13.86,1.00
Bd_18,oh,531.25,46.46,156.25,43.76,45.25,21.14,25.32,906.25,27.34,19.12,1.00
