FFlename,Segment_label,BegFnnFng,End,F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1F1,B1hz,B1dB,F0,H1,H2,P0,B1-P0,P1Hz,P1,B1-P1,,
chan_016,F,1.95,2.02,417.6747783,437.5,35.06096288,109.375,38.28639754,39.5148654,13.2257302,21.83523268,1000,13.82398067,21.23698221,453.125,23.96520841,109.375,34.16065383,36.49539387,5.4359386,18.52926981,953.125,10.42738521,13.5378232,468.75,22.83126562,109.375,31.48527482,31.98489951,4.469665473,18.36160015,906.25,8.202940765,14.62832486,m,NV
chan_0160,F,4.13,4.25,352.4048322,578.125,46.82219232,140.625,41.38034641,40.52639389,46.82219232,0,1000,26.90278472,19.9194076,687.5,47.81598574,140.625,40.34675694,39.55131757,47.81598574,0,968.75,36.82436792,10.99161782,671.875,45.52640513,140.625,40.17033993,38.37094444,45.52640513,0,953.125,33.4630223,12.06338283,m,NV
chan_0161,B,6.19,6.27,712.5206933,250,24.92834712,131.1171818,37.43606975,20.91298805,37.43606975,-12.50772263,937.5,1.628771518,23.2995756,250,35.54446149,164.3056018,38.29688102,31.30900591,38.29688102,-2.752419526,1000,7.545294727,27.999166763,312.5,25.22859784,137.8688745,37.65281365,25.22859784,37.65281365,-12.42421581,937.5,7.431736637,17.7968612,m,NV
chan_0162,B,1.02,1.08,652.9781215,375,39.78103795,183.1544018,35.1412557,39.62992592,29.85658531,9.924452639,1000,19.60857351,20.17246444,375,35.32697294,183.3011686,37.06878352,38.3050489,28.47106563,6.855907307,937.5,16.10444947,19.22252347,375,24.32771438,150.4824547,30.58339594,22.23989314,30.58339594,-6.255681565,875,11.7471386,12.58057578,m,NV
chan_0162,B,4.48,4.57,609.7320083,437.5,32.38415746,95.79830572,30.90897445,33.46518186,10.14694291,22.23721455,968.75,4.544016012,27.84014145,406.25,30.34286475,93.75,28.53229751,31.9524699,10.47468729,19.86817747,906.25,1.085877402,29.256987348,500,25.78551739,93.75,26.89205851,31.00929185,10.11298403,15.67253336,906.25,1.712992951,24.07252444,m,NV
chan_0162,B,7.69,7.79,750.5244455,531.25,46.21781435,125,42.76548146,41.37592389,46.21781435,0,906.25,28.17592072,18.04189363,687.5,42.93484044,109.375,37.69406871,37.16088294,42.93484044,0,921.875,31.54763103,11.38720941,718.75,32.61582804,109.375,30.43111136,29.73451158,32.61582804,0,921.875,24.15990567,8.455922377,m,NV
chan_0163,B,2.49,2.6,570.5246025,1250,12.64694115,140.625,38.51617767,26.40559108,38.51617767,-25.86923652,890.625,11.48668524,1.160255909,1562.5,7.068346296,140.625,10.96683723,9.394769347,23.54275055,-16.47440425,921.875,-0.610429595,7.678775891,1671.875,7.296010414,140.625,10.96321555,3.778983987,20.15724216,-12.86123175,921.875,-4.167541779,11.46355219,m,NV
chan_0164,B,3.28,3.33,734.3098685,437.5,37.87905705,156.25,39.02944394,36.63847408,39.02944394,-1.150386896,906.25,8.666021007,29.21303604,437.5,49.44073924,156.25,42.4230202,42.57334648,8.534414913,40.90632432,875,21.23632606,28.20441318,437.5,48.30120562,156.25,42.41518739,42.18042536,48.30120562,0,875,18.94810792,29.3530977,m,NV
chan_0164,B,4.03,4.14,587.2144459,375,37.41661221,125,40.87281821,34.37817245,40.87281821,-3.456206008,937.5,-1.728006935,39.14461914,437.5,35.40225797,125,41.52970312,37.03040298,41.52970312,-6.127445158,937.5,16.4103228,18.99193517,562.5,29.31411092,125,41.03993656,36.00474261,41.03993656,-11.72582564,937.5,17.36039223,11.95371869,m,NV
chan_0164,B,4.33,4.43,511.5561463,437.5,38.40113258,109.375,34.71565642,34.11193863,38.40113258,0,953.125,5.147720522,33.25341206,406.25,34.87257643,93.75,30.18359698,31.81484606,7.074193671,27.79838276,906.25,3.524069584,31.348506846,406.25,24.0812961,109.375,27.94924618,20.51338729,27.94924618,-3.867950083,906.25,-7.009993028,31.09128912,m,NV
